timestamp pose.position.x pose.position.y pose.position.z pose.orientation.x pose.orientation.y pose.orientation.z pose.orientation.w
world_link gp180_tool0 True 0.1 1
0.1000	-0.0998	0.7570
0.1000	-0.0999	0.7552
0.1000	-0.0999	0.7535
0.1000	-0.1000	0.7517
0.1000	-0.1000	0.7500
0.1000	-0.1000	0.7483
0.1000	-0.0999	0.7465
0.1000	-0.0999	0.7448
0.1000	-0.0998	0.7430
0.1000	-0.0996	0.7413
0.1000	-0.0995	0.7395
0.1000	-0.0993	0.7378
0.1000	-0.0990	0.7361
0.1000	-0.0988	0.7344
0.1000	-0.0985	0.7326
0.1000	-0.0982	0.7309
0.1000	-0.0978	0.7292
0.1000	-0.0974	0.7275
0.1000	-0.0970	0.7258
0.1000	-0.0966	0.7241
0.1000	-0.0961	0.7224
0.1000	-0.0956	0.7208
0.1000	-0.0951	0.7191
0.1000	-0.0946	0.7174
0.1000	-0.0940	0.7158
0.1000	-0.0934	0.7142
0.1000	-0.0927	0.7125
0.1000	-0.0921	0.7109
0.1000	-0.0914	0.7093
0.1000	-0.0906	0.7077
0.1000	-0.0899	0.7062
0.1000	-0.0891	0.7046
0.1000	-0.0883	0.7031
0.1000	-0.0875	0.7015
0.1000	-0.0866	0.7000
0.1000	-0.0857	0.6985
0.1000	-0.0848	0.6970
0.1000	-0.0839	0.6955
0.1000	-0.0829	0.6941
0.1000	-0.0819	0.6926
0.1000	-0.0809	0.6912
0.1000	-0.0799	0.6898
0.1000	-0.0788	0.6884
0.1000	-0.0777	0.6871
0.1000	-0.0766	0.6857
0.1000	-0.0755	0.6844
0.1000	-0.0743	0.6831
0.1000	-0.0731	0.6818
0.1000	-0.0719	0.6805
0.1000	-0.0707	0.6793
0.1000	-0.0695	0.6781
0.1000	-0.0682	0.6769
0.1000	-0.0669	0.6757
0.1000	-0.0656	0.6745
0.1000	-0.0643	0.6734
0.1000	-0.0629	0.6723
0.1000	-0.0616	0.6712
0.1000	-0.0602	0.6701
0.1000	-0.0588	0.6691
0.1000	-0.0574	0.6681
0.1000	-0.0559	0.6671
0.1000	-0.0545	0.6661
0.1000	-0.0530	0.6652
0.1000	-0.0515	0.6643
0.1000	-0.0500	0.6634
0.1000	-0.0485	0.6625
0.1000	-0.0469	0.6617
0.1000	-0.0454	0.6609
0.1000	-0.0438	0.6601
0.1000	-0.0423	0.6594
0.1000	-0.0407	0.6586
0.1000	-0.0391	0.6579
0.1000	-0.0375	0.6573
0.1000	-0.0358	0.6566
0.1000	-0.0342	0.6560
0.1000	-0.0326	0.6554
0.1000	-0.0309	0.6549
0.1000	-0.0292	0.6544
0.1000	-0.0276	0.6539
0.1000	-0.0259	0.6534
0.1000	-0.0242	0.6530
0.1000	-0.0225	0.6526
0.1000	-0.0208	0.6522
0.1000	-0.0191	0.6518
0.1000	-0.0174	0.6515
0.1000	-0.0156	0.6512
0.1000	-0.0139	0.6510
0.1000	-0.0122	0.6507
0.1000	-0.0105	0.6505
